ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,21.458,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,21.625,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,21.531,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,21.622,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,21.464,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,21.466,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,21.616,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,21.71,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,21.801,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,21.929,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,21.794,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,21.95,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,22.192,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,21.626,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,21.918,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,21.822,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,21.857,
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,rpl32,21.865,
